ukia_uri,ukia_year,ukia_number,legislation_uri
http://www.legislation.gov.uk/id/ukia/2009/24,2009,24,
http://www.legislation.gov.uk/id/ukia/2025/16,2025,16,http://www.legislation.gov.uk/id/uksi/2025/50
http://www.legislation.gov.uk/id/ukia/2008/18,2008,18,
http://www.legislation.gov.uk/id/ukia/2011/564,2011,564,
http://www.legislation.gov.uk/id/ukia/2008/140,2008,140,http://www.legislation.gov.uk/id/uksi/2008/1654
http://www.legislation.gov.uk/id/ukia/2011/287,2011,287,
http://www.legislation.gov.uk/id/ukia/2023/166,2023,166,http://www.legislation.gov.uk/id/uksi/2017/848
http://www.legislation.gov.uk/id/ukia/2012/219,2012,219,
http://www.legislation.gov.uk/id/ukia/2017/58,2017,58,http://www.legislation.gov.uk/id/ukdsi/2017/9780111155042
http://www.legislation.gov.uk/id/ukia/2014/377,2014,377,http://www.legislation.gov.uk/id/uksi/2014/3255
http://www.legislation.gov.uk/id/ukia/2010/438,2010,438,
http://www.legislation.gov.uk/id/ukia/2015/309,2015,309,http://www.legislation.gov.uk/id/uksi/2015/1974
http://www.legislation.gov.uk/id/ukia/2009/172,2009,172,
http://www.legislation.gov.uk/id/ukia/2016/180,2016,180,http://www.legislation.gov.uk/id/uksi/2016/792
http://www.legislation.gov.uk/id/ukia/2024/198,2024,198,http://www.legislation.gov.uk/id/uksi/2015/365
http://www.legislation.gov.uk/id/ukia/2012/241,2012,241,
http://www.legislation.gov.uk/id/ukia/2017/112,2017,112,http://www.legislation.gov.uk/id/uksi/2017/693
http://www.legislation.gov.uk/id/ukia/2024/120,2024,120,http://www.legislation.gov.uk/id/uksi/2024/819
http://www.legislation.gov.uk/id/ukia/2016/26,2016,26,http://www.legislation.gov.uk/id/uksi/2016/92
http://www.legislation.gov.uk/id/ukia/2008/323,2008,323,
http://www.legislation.gov.uk/id/ukia/2010/460,2010,460,http://www.legislation.gov.uk/id/uksi/2010/2226
http://www.legislation.gov.uk/id/ukia/2015/331,2015,331,http://www.legislation.gov.uk/id/uksi/2016/21
http://www.legislation.gov.uk/id/ukia/2013/1116,2013,1116,http://www.legislation.gov.uk/id/uksi/2013/395
http://www.legislation.gov.uk/id/ukia/2010/183,2010,183,
http://www.legislation.gov.uk/id/ukia/2009/74,2009,74,
http://www.legislation.gov.uk/id/ukia/2011/115,2011,115,
http://www.legislation.gov.uk/id/ukia/2013/273,2013,273,http://www.legislation.gov.uk/id/ukdsi/2016/9780111143445
http://www.legislation.gov.uk/id/ukia/2018/144,2018,144,http://www.legislation.gov.uk/id/uksi/2018/1125
http://www.legislation.gov.uk/id/ukia/2025/40,2025,40,http://www.legislation.gov.uk/id/uksi/2025/263
http://www.legislation.gov.uk/id/ukia/2025/152,2025,152,http://www.legislation.gov.uk/id/uksi/2025/797
http://www.legislation.gov.uk/id/ukia/2014/205,2014,205,http://www.legislation.gov.uk/id/uksi/2014/1711
http://www.legislation.gov.uk/id/ukia/2008/68,2008,68,
http://www.legislation.gov.uk/id/ukia/2009/355,2009,355,
http://www.legislation.gov.uk/id/ukia/2011/492,2011,492,http://www.legislation.gov.uk/id/ukdsi/2011/9780111507650
http://www.legislation.gov.uk/id/ukia/2008/42,2008,42,
http://www.legislation.gov.uk/id/ukia/2012/424,2012,424,http://www.legislation.gov.uk/id/uksi/2012/3001
http://www.legislation.gov.uk/id/ukia/2024/34,2024,34,http://www.legislation.gov.uk/id/uksi/2012/991
http://www.legislation.gov.uk/id/ukia/2012/147,2012,147,
http://www.legislation.gov.uk/id/ukia/2008/229,2008,229,
http://www.legislation.gov.uk/id/ukia/2017/82,2017,82,http://www.legislation.gov.uk/id/uksi/2017/443
http://www.legislation.gov.uk/id/ukia/2007/36,2007,36,
http://www.legislation.gov.uk/id/ukia/2010/366,2010,366,http://www.legislation.gov.uk/id/ukdsi/2010/9780111502327
http://www.legislation.gov.uk/id/ukia/2015/237,2015,237,http://www.legislation.gov.uk/id/uksi/2015/792
http://www.legislation.gov.uk/id/ukia/2023/28,2023,28,http://www.legislation.gov.uk/id/uksi/2023/171
http://www.legislation.gov.uk/id/ukia/2007/10,2007,10,
http://www.legislation.gov.uk/id/ukia/2016/76,2016,76,http://www.legislation.gov.uk/id/uksi/2016/339
http://www.legislation.gov.uk/id/ukia/2013/179,2013,179,
http://www.legislation.gov.uk/id/ukia/2013/101,2013,101,http://www.legislation.gov.uk/id/uksi/2013/1893
http://www.legislation.gov.uk/id/ukia/2016/50,2016,50,http://www.legislation.gov.uk/id/uksi/2016/241
http://www.legislation.gov.uk/id/ukia/2008/251,2008,251,
http://www.legislation.gov.uk/id/ukia/2011/398,2011,398,http://www.legislation.gov.uk/id/uksi/2011/2332
http://www.legislation.gov.uk/id/ukia/2011/320,2011,320,
http://www.legislation.gov.uk/id/ukia/2024/209,2024,209,http://www.legislation.gov.uk/id/uksi/2015/518
http://www.legislation.gov.uk/id/ukia/2025/90,2025,90,http://www.legislation.gov.uk/id/uksi/2025/560
http://www.legislation.gov.uk/id/ukia/2015/44,2015,44,http://www.legislation.gov.uk/id/ukdsi/2015/9780111127490
http://www.legislation.gov.uk/id/ukia/2014/410,2014,410,http://www.legislation.gov.uk/id/ukdsi/2015/9780111126981
http://www.legislation.gov.uk/id/ukia/2014/133,2014,133,http://www.legislation.gov.uk/id/ukdsi/2014/9780111113998
http://www.legislation.gov.uk/id/ukia/2008/92,2008,92,http://www.legislation.gov.uk/id/uksi/2008/1371
http://www.legislation.gov.uk/id/ukia/2009/283,2009,283,http://www.legislation.gov.uk/id/uksi/2010/419
http://www.legislation.gov.uk/id/ukia/2024/84,2024,84,http://www.legislation.gov.uk/id/ukdsi/2024/9780348260908
http://www.legislation.gov.uk/id/ukia/2014/38,2014,38,http://www.legislation.gov.uk/id/ukdsi/2014/9780111109540
http://www.legislation.gov.uk/id/ukia/2012/352,2012,352,http://www.legislation.gov.uk/id/uksi/2012/1818
http://www.legislation.gov.uk/id/ukia/2014/12,2014,12,http://www.legislation.gov.uk/id/uksi/2014/45
http://www.legislation.gov.uk/id/ukia/2010/2000,2010,2000,http://www.legislation.gov.uk/id/uksi/2010/1204
http://www.legislation.gov.uk/id/ukia/2023/78,2023,78,http://www.legislation.gov.uk/id/ukdsi/2023/9780348249699
http://www.legislation.gov.uk/id/ukia/2008/157,2008,157,
http://www.legislation.gov.uk/id/ukia/2010/294,2010,294,
http://www.legislation.gov.uk/id/ukia/2015/165,2015,165,http://www.legislation.gov.uk/id/uksi/2015/746
http://www.legislation.gov.uk/id/ukia/2011/503,2011,503,http://www.legislation.gov.uk/id/ukdsi/2011/9780111511626
http://www.legislation.gov.uk/id/ukia/2023/52,2023,52,http://www.legislation.gov.uk/id/ukdsi/2023/9780348247497
http://www.legislation.gov.uk/id/ukia/2011/226,2011,226,
http://www.legislation.gov.uk/id/ukia/2015/5,2015,5,http://www.legislation.gov.uk/id/ukdsi/2015/9780111125243
http://www.legislation.gov.uk/id/ukia/2023/105,2023,105,http://www.legislation.gov.uk/id/nisr/2023/129
http://www.legislation.gov.uk/id/ukia/2014/316,2014,316,http://www.legislation.gov.uk/id/uksi/2014/2868
http://www.legislation.gov.uk/id/ukia/2013/1085,2013,1085,http://www.legislation.gov.uk/id/uksi/2013/126
http://www.legislation.gov.uk/id/ukia/2009/189,2009,189,
http://www.legislation.gov.uk/id/ukia/2016/197,2016,197,http://www.legislation.gov.uk/id/uksi/2016/953
