en_uri,filename,en_type,en_title,en_date,legislation_uri,legislation_class,legislation_year,legislation_number,legislation_title
http://www.legislation.gov.uk/ukpga/2006/40/pdfs/ukpgaen_20060040_en.pdf,ukpgaen_20060040_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2006/40,UnitedKingdomPublicGeneralAct,2006,40,Education and Inspections Act 2006
http://www.legislation.gov.uk/ukpga/2016/6/pdfs/ukpgaen_20160006_en.pdf,ukpgaen_20160006_en,UK Act Explanatory Note,Explanatory Note,2016-03-22,http://www.legislation.gov.uk/id/ukpga/2016/6,UnitedKingdomPublicGeneralAct,2016,6,Education and Adoption Act 2016
http://www.legislation.gov.uk/ukpga/2006/14/pdfs/ukpgaen_20060014_en.pdf,ukpgaen_20060014_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2006/14,UnitedKingdomPublicGeneralAct,2006,14,Consumer Credit Act 2006
http://www.legislation.gov.uk/asp/2014/10/pdfs/aspen_20140010_en.pdf,aspen_20140010_en,Scottish Act Explanatory Note,Explanatory Note,2014-08-28,http://www.legislation.gov.uk/id/asp/2014/10,ScottishAct,2014,10,Tribunals (Scotland) Act 2014
http://www.legislation.gov.uk/asp/2017/3/pdfs/aspen_20170003_en.pdf,aspen_20170003_en,Scottish Act Explanatory Note,Explanatory Note,2017-08-10,http://www.legislation.gov.uk/id/asp/2017/3,ScottishAct,2017,3,
http://www.legislation.gov.uk/asp/2004/1/pdfs/aspen_20040001_en.pdf,aspen_20040001_en,Scottish Act Explanatory Note,Explanatory Note,2008-03-02,http://www.legislation.gov.uk/id/asp/2004/1,ScottishAct,2004,1,Primary Medical Services (Scotland) Act 2004
http://www.legislation.gov.uk/ukpga/2019/14/pdfs/ukpgaen_20190014_en.pdf,ukpgaen_20190014_en,UK Act Explanatory Note,Explanatory Note,2019-04-24,http://www.legislation.gov.uk/id/ukpga/2019/14,UnitedKingdomPublicGeneralAct,2019,14,Healthcare (European Economic Area and Switzerland Arrangements) Act 2019
http://www.legislation.gov.uk/ukpga/2008/25/pdfs/ukpgaen_20080025_en.pdf,ukpgaen_20080025_en,UK Act Explanatory Note,Explanatory Note,2008-11-28,http://www.legislation.gov.uk/id/ukpga/2008/25,UnitedKingdomPublicGeneralAct,2008,25,Education and Skills Act 2008
http://www.legislation.gov.uk/anaw/2015/2/pdfs/anawen_20150002_we.pdf,anawen_20150002_we,Welsh Act Explanatory Note,Explanatory Note,2015-05-06,http://www.legislation.gov.uk/id/anaw/2015/2,WelshNationalAssemblyAct,2015,2,
http://www.legislation.gov.uk/anaw/2015/2/pdfs/anawen_20150002_en.pdf,anawen_20150002_en,Welsh Act Explanatory Note,Explanatory Note,2015-05-06,http://www.legislation.gov.uk/id/anaw/2015/2,WelshNationalAssemblyAct,2015,2,
http://www.legislation.gov.uk/anaw/2015/2/pdfs/anawen_20150002_mi.pdf,anawen_20150002_mi,Welsh Act Explanatory Note,Explanatory Note,2015-05-06,http://www.legislation.gov.uk/id/anaw/2015/2,WelshNationalAssemblyAct,2015,2,
http://www.legislation.gov.uk/nia/2011/24/pdfs/niaen_20110024_en.pdf,niaen_20110024_en,NI Act Explanatory Note,Explanatory Note,2011-05-12,http://www.legislation.gov.uk/id/nia/2011/24,NorthernIrelandAct,2011,24,Justice Act (Northern-Ireland) 2011
http://www.legislation.gov.uk/asc/2024/6/pdfs/ascen_20240006_mi.pdf,ascen_20240006_mi,Scottish Church Act Explanatory Note,Explanatory Note,2024-09-23,http://www.legislation.gov.uk/id/asc/2024/6,WelshParliamentAct,2024,6,Local Government Finance Act 2024
http://www.legislation.gov.uk/asc/2024/6/pdfs/ascen_20240006_we.pdf,ascen_20240006_we,Scottish Church Act Explanatory Note,Explanatory Note,2024-09-23,http://www.legislation.gov.uk/id/asc/2024/6,WelshParliamentAct,2024,6,Local Government Finance Act 2024
http://www.legislation.gov.uk/asc/2024/6/pdfs/ascen_20240006_en.pdf,ascen_20240006_en,Scottish Church Act Explanatory Note,Explanatory Note,2024-09-23,http://www.legislation.gov.uk/id/asc/2024/6,WelshParliamentAct,2024,6,Local Government Finance Act 2024
http://www.legislation.gov.uk/ukpga/2005/10/pdfs/ukpgaen_20050010_en.pdf,ukpgaen_20050010_en,UK Act Explanatory Note,Explanatory Note,2008-03-03,http://www.legislation.gov.uk/id/ukpga/2005/10,UnitedKingdomPublicGeneralAct,2005,10,Public Services Ombudsman (Wales) Act 2005
http://www.legislation.gov.uk/ukpga/2023/6/pdfs/ukpgaen_20230006_en.pdf,ukpgaen_20230006_en,UK Act Explanatory Note,Explanatory Note,2023-04-11,http://www.legislation.gov.uk/id/ukpga/2023/6,UnitedKingdomPublicGeneralAct,2023,6,Genetic Technology (Precision Breeding) Act 2023
http://www.legislation.gov.uk/nia/2011/11/pdfs/niaen_20110011_en.pdf,niaen_20110011_en,NI Act Explanatory Note,Explanatory Note,2011-03-22,http://www.legislation.gov.uk/id/nia/2011/11,NorthernIrelandAct,2011,11,Transport Act (Northern-Ireland) 2011
http://www.legislation.gov.uk/ukpga/2022/37/pdfs/ukpgaen_20220037_en.pdf,ukpgaen_20220037_en,UK Act Explanatory Note,Explanatory Note,2022-05-16,http://www.legislation.gov.uk/id/ukpga/2022/37,UnitedKingdomPublicGeneralAct,2022,37,Elections Act 2022
http://www.legislation.gov.uk/ukpga/2018/10/pdfs/ukpgaen_20180010_en.pdf,ukpgaen_20180010_en,UK Act Explanatory Note,Explanatory Note,2018-07-12,http://www.legislation.gov.uk/id/ukpga/2018/10,UnitedKingdomPublicGeneralAct,2018,10,Financial Guidance and Claims Act 2018
